Exchange_Name,Registration_Date,Headquarters,Founded,Founders,Market_Share_%,Users_Millions,Products,TDS_Compliant,Security_Rating,Major_Incidents,Current_Status,Trading_Volume_Daily_Cr,Cold_Storage_%,Regulatory_Notes,Last_Updated
Bitbns,Mar-2023,Bangalore,2017,Rohit Bhargava,79.1,10+,"Spot trading, P2P, Staking, Crypto bundles",Yes,9/10,None,ACTIVE,2500+,High,Zero breaches since inception,May-2026
CoinDCX,Mar-2023,Mumbai,2018,"Sumit Gupta, Neeraj Khandelwal, Pooja Jain",6.6,7+,"Spot, Futures (100x), Staking, INR margin, OTC",Yes,9.5/10,None,ACTIVE,1200+,High,India's most trusted; Coinbase invested,May-2026
WazirX,Mar-2023,Mumbai,2017,"Nischal Shetty, Siddharth Menon, Sameer Mhatre",11.1,16M (pre-hack),"Spot, P2P, Derivatives",Yes,6/10,$230M hack (Jul 2024; 85% recovered),RESTRUCTURED,800+,Medium,Restructured Oct 2025; recovery ongoing,May-2026
ZebPay,Mar-2023,Bangalore,2014,Ajeet Khurana,3.1,2M+,"Spot, CryptoPacks, Staking, P2P",Yes,9.8/10,None,ACTIVE,600+,Very High (98%),Zero breaches since 2014; highest security,May-2026
CoinSwitch Kuber,Mar-2023,Bangalore,2017,Ashish Singhal,—,3M+,"Spot (400+), Futures, Options, Staking, API, P2P",Yes,9/10,None,ACTIVE,500+,High,Beginner-friendly; rapid growth,May-2026
Mudrex,Mar-2023,Bangalore,2018,"Neeraj Khandelwal, Harsh Rajat",—,1M+,"Crypto baskets, Auto-trading, Futures, Earn products",Yes,9/10,None,ACTIVE,300+,High,Portfolio-focused; 10K+ users onboarded post-2024,May-2026
Unocoin,Mar-2023,Bangalore,2013,"Sanjay Jain, Harish BV",—,—,Spot trading,Yes,8/10,None,ACTIVE,200+,High,Early player; stable operations,May-2026
Giottus,Mar-2023,Bangalore,—,—,—,—,Spot (pro traders),Yes,8.5/10,None,ACTIVE,150+,High,Professional trader focus,May-2026
BuyUcoin,Mar-2023,Bangalore,—,—,—,—,Spot trading,Yes,8/10,None,ACTIVE,100+,High,FIU compliant; stable,May-2026
Pyor,Mar-2023,—,—,—,—,—,Spot trading,Yes,8/10,None,ACTIVE,50+,High,Limited public info; compliant,May-2026
Valr,Mar-2023,South Africa,—,—,—,—,Crypto services,Yes,8/10,None,ACTIVE,40+,High,International player; India operations,May-2026
Bytex,Mar-2023,—,—,—,—,—,Spot trading,Yes,8/10,None,ACTIVE,30+,High,FIU registered,May-2026
[33 OTHER DOMESTIC EXCHANGES],Mar-2023,Various,Various,Various,—,—,Various,Yes,7-9/10,None,ACTIVE,—,High,All FIU compliant; see supplementary list,May-2026
Binance,Aug-2024,Cayman Islands,2017,"Changpeng Zhao, Yi He",5-10%,Millions,"Spot (400+), P2P, Margin, Futures (unavailable India), Staking",No,9/10,None,ACTIVE,3000+,High,Paid ₹188 Cr penalty; re-registered Aug 2024,May-2026
Coinbase,Mar-2025,San Francisco USA,2012,"Brian Armstrong, Fred Ehrsam",—,Millions,"Spot (250+), Crypto-to-crypto, Wallet, Advanced, INTX",No,9.5/10,None,ACTIVE (Limited),500+,High,NASDAQ-listed; INR coming 2026; invested in CoinDCX,May-2026
KuCoin,Mar-2024,Seychelles,2017,"Johnny Lyu, Michael Gan",—,Millions,"Spot, Futures, Staking, Trading bots",No,8.5/10,None,ACTIVE,400+,High,Paid ₹3.45 lakh fine; compliant since Mar 2024,May-2026
MEXC,Registered,Singapore,2018,—,—,Millions,"Spot, Futures, Staking",No,8/10,None,ACTIVE,200+,High,FIU-registered; TDS not deducted,May-2026
